Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
AMÉRICA DO SUL;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0;Baixa;AC;2023-11-01
AMÉRICA DO SUL;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0;Baixa;AC;2023-11-01
ÁSIA;5;Outros Países;56;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;12;Média;Outros;2023-01-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;10;Média;Outros;2023-02-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;3;Média;Outros;2023-03-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;7;Média;Outros;2023-04-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;3;Média;Outros;2023-05-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;3;Média;Outros;2023-06-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1;Média;Outros;2023-07-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;5;Média;Outros;2023-08-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;12;Média;Outros;2023-09-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;12;Média;Outros;2023-10-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;71;Média;Outros;2023-11-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;11;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;564;Alta;Outros;2023-01-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;474;Alta;Outros;2023-02-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;520;Alta;Outros;2023-03-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;536;Alta;Outros;2023-04-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;387;Alta;Outros;2023-05-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;255;Alta;Outros;2023-06-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;478;Alta;Outros;2023-07-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;377;Alta;Outros;2023-08-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;481;Alta;Outros;2023-09-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;659;Alta;Outros;2023-10-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;513;Alta;Outros;2023-11-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;529;Alta;Outros;2023-12-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
OCEANIA;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;2;Média;Outros;2023-04-01
OCEANIA;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;3;Média;Outros;2023-11-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;4;Média;Outros;2023-03-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;3;Média;Outros;2023-08-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;3;Média;Outros;2023-01-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;3;Média;Outros;2023-02-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;0;Baixa;Outros;2023-03-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;3;Média;Outros;2023-05-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;3;Média;Outros;2023-11-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;3;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Bolívia;27;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Outros Países;89;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;2;Média;Outros;2023-12-01
ÁFRICA;1;Cabo Verde;3;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;0;Baixa;Outros;2023-01-01
ÁFRICA;1;Cabo Verde;3;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;1;Média;Outros;2023-05-01
ÁFRICA;1;Cabo Verde;3;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
ÁFRICA;1;Cabo Verde;3;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
ÁFRICA;1;Cabo Verde;3;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
AMÉRICA DO NORTE;3;Canadá;23;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;0;Baixa;Outros;2023-01-01
AMÉRICA DO NORTE;3;Canadá;23;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;1;Média;Outros;2023-11-01
AMÉRICA DO NORTE;3;Canadá;23;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;1;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;1;Média;Outros;2023-03-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;2;Média;Outros;2023-05-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;2;Média;Outros;2023-07-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;1;Média;Outros;2023-11-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
AMÉRICA DO SUL;4;Chile;28;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;2;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Colômbia;29;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;1;Média;Outros;2023-04-01
AMÉRICA DO SUL;4;Colômbia;29;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
AMÉRICA DO SUL;4;Colômbia;29;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
AMÉRICA DO SUL;4;Colômbia;29;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Cuba;13;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;1;Média;Outros;2023-04-01
EUROPA;6;Dinamarca;62;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
EUROPA;6;Dinamarca;62;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
EUROPA;6;Dinamarca;62;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;2;Média;Outros;2023-09-01
EUROPA;6;Dinamarca;62;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;5;Média;Outros;2023-12-01
ÁFRICA;1;Egito;4;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
AMÉRICA DO SUL;4;Equador;30;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;2;Média;Outros;2023-04-01
EUROPA;6;Eslováquia;63;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;0;Baixa;Outros;2023-01-01
EUROPA;6;Eslováquia;63;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;0;Baixa;Outros;2023-05-01
EUROPA;6;Eslováquia;63;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Eslováquia;63;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;1;Média;Outros;2023-11-01
EUROPA;6;Eslovênia;64;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;5;Média;Outros;2023-01-01
EUROPA;6;Eslovênia;64;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;0;Baixa;Outros;2023-02-01
EUROPA;6;Eslovênia;64;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;2;Média;Outros;2023-12-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;7;Média;Outros;2023-01-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;13;Média;Outros;2023-02-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;13;Média;Outros;2023-03-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;4;Média;Outros;2023-04-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;6;Média;Outros;2023-06-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;8;Média;Outros;2023-07-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;13;Média;Outros;2023-08-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;9;Média;Outros;2023-09-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;10;Média;Outros;2023-10-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;7;Média;Outros;2023-11-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;9;Média;Outros;2023-12-01
EUROPA;6;Espanha;65;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;1;Média;Outros;2023-03-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;1;Média;Outros;2023-05-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;1;Média;Outros;2023-09-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;3;Média;Outros;2023-11-01
AMÉRICA DO NORTE;3;Estados Unidos;24;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;5;Média;Outros;2023-12-01
EUROPA;6;Finlândia;67;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;0;Baixa;Outros;2023-05-01
EUROPA;6;Finlândia;67;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;9;Média;Outros;2023-01-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;19;Média;Outros;2023-02-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;8;Média;Outros;2023-03-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;17;Média;Outros;2023-04-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;5;Média;Outros;2023-05-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;6;Média;Outros;2023-07-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;15;Média;Outros;2023-08-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;2;Média;Outros;2023-09-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;3;Média;Outros;2023-10-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;3;Média;Outros;2023-11-01
EUROPA;6;França;68;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;12;Média;Outros;2023-12-01
EUROPA;6;Grécia;69;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
EUROPA;6;Grécia;69;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
EUROPA;6;Grécia;69;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
EUROPA;6;Grécia;69;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;1;Média;Outros;2023-12-01
ÁFRICA;1;Outros Países;11;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
ÁFRICA;1;Outros Países;11;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;0;Baixa;Outros;2023-01-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;2;Média;Outros;2023-04-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;3;Média;Outros;2023-05-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;10;Média;Outros;2023-07-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;5;Média;Outros;2023-09-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;2;Média;Outros;2023-11-01
EUROPA;6;Holanda;70;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;3;Média;Outros;2023-12-01
AMÉRICA CENTRAL E CARIBE;2;Honduras;17;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
EUROPA;6;Hungria;71;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;2;Média;Outros;2023-01-01
EUROPA;6;Hungria;71;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;2;Média;Outros;2023-02-01
EUROPA;6;Hungria;71;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
ÁSIA;5;Índia;44;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;1;Média;Outros;2023-05-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;0;Baixa;Outros;2023-02-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;0;Baixa;Outros;2023-03-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;1;Média;Outros;2023-04-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;3;Média;Outros;2023-08-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;Irlanda;72;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;1;Média;Outros;2023-12-01
EUROPA;6;Outros Países;89;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;5;Média;Outros;2023-02-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;2;Média;Outros;2023-03-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1;Média;Outros;2023-07-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
ÁSIA;5;Israel;47;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;1;Média;Outros;2023-12-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;79;Média;Outros;2023-01-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;41;Média;Outros;2023-02-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;29;Média;Outros;2023-03-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;11;Média;Outros;2023-04-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;9;Média;Outros;2023-05-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;6;Média;Outros;2023-06-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;17;Média;Outros;2023-07-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;37;Média;Outros;2023-08-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;24;Média;Outros;2023-09-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;25;Média;Outros;2023-10-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;48;Média;Outros;2023-11-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;76;Média;Outros;2023-12-01
EUROPA;6;Itália;73;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
ÁSIA;5;Japão;48;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;1;Média;Outros;2023-06-01
ÁSIA;5;Japão;48;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;1;Média;Outros;2023-09-01
ÁSIA;5;Japão;48;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
EUROPA;6;Lituânia;75;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
EUROPA;6;Outros Países;89;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
AMÉRICA DO NORTE;3;México;25;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
AMÉRICA DO NORTE;3;México;25;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;1;Média;Outros;2023-08-01
AMÉRICA DO NORTE;3;México;25;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
AMÉRICA DO NORTE;3;México;25;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
EUROPA;6;Outros Países;89;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;0;Baixa;Outros;2023-09-01
EUROPA;6;Noruega;77;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;0;Baixa;Outros;2023-01-01
EUROPA;6;Noruega;77;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1;Média;Outros;2023-07-01
EUROPA;6;Noruega;77;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
EUROPA;6;Noruega;77;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;2;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;1;Média;Outros;2023-02-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;1;Média;Outros;2023-03-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;0;Baixa;Outros;2023-05-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;0;Baixa;Outros;2023-07-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;0;Baixa;Outros;2023-08-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;5;Média;Outros;2023-10-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;2;Média;Outros;2023-11-01
AMÉRICA DO SUL;4;Paraguai;33;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;1;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;1;Média;Outros;2023-03-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;0;Baixa;Outros;2023-05-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;0;Baixa;Outros;2023-08-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
AMÉRICA DO SUL;4;Peru;34;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;2;Média;Outros;2023-12-01
EUROPA;6;Polônia;78;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
EUROPA;6;Polônia;78;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1;Média;Outros;2023-07-01
EUROPA;6;Polônia;78;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;2;Média;Outros;2023-09-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
EUROPA;6;Portugal;79;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;133;Alta;Outros;2023-01-01
EUROPA;6;Portugal;79;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;108;Alta;Outros;2023-02-01
