Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
EUROPA;6;Romênia;82;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
EUROPA;6;Romênia;82;Distrito Federal;7;Aéreo;1;2023;Novembro;11;3;Média;DF;2023-11-01
EUROPA;6;Romênia;82;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Romênia;82;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
EUROPA;6;Romênia;82;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Maio;5;0;Baixa;DF;2023-05-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Agosto;8;0;Baixa;DF;2023-08-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;4;Média;DF;2023-01-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;4;Média;DF;2023-02-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Marco;3;7;Média;DF;2023-03-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Abril;4;38;Média;DF;2023-04-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Maio;5;9;Média;DF;2023-05-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Junho;6;11;Média;DF;2023-06-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Julho;7;22;Média;DF;2023-07-01
